# INaturalist Research-grade observations of plants in the Holosiiv forest area (aprox.), as of 13.03.2024
# GBIF.org (13 March 2024) GBIF Occurrence Download https://doi.org/10.15468/dl.7nrymj
#---------------------------------------------------------------------------------------------------------
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4528286133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189502	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum urbanum		SPECIES	Geum urbanum L.	Geum urbanum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.379794	30.500113	5.0						2024-02-22T14:36	22	2	2024	5369652	5369652	HUMAN_OBSERVATION	iNaturalist	Observations	200189502		Andrii Churilov	2024-02-23T15:48:08	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T23:11:12.138Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528268113	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189024	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum urbanum		SPECIES	Geum urbanum L.	Geum urbanum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380325	30.498821	5.0						2024-02-22T14:27	22	2	2024	5369652	5369652	HUMAN_OBSERVATION	iNaturalist	Observations	200189024		Andrii Churilov	2024-02-23T15:42:45	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:03:43.392Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528262086	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189023	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380158	30.498956	5.0						2024-02-22T14:26	22	2	2024	5334186	5334186	HUMAN_OBSERVATION	iNaturalist	Observations	200189023		Andrii Churilov	2024-02-23T15:42:45	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:10:50.449Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528242080	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200188620	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex pilosa		SPECIES	Carex pilosa Scop.	Carex pilosa		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.382202	30.505464	5.0						2024-02-22T11:07	22	2	2024	2727195	2727195	HUMAN_OBSERVATION	iNaturalist	Observations	200188620		Andrii Churilov	2024-02-23T15:37:41	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:00:06.356Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528079218	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200562136	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Fagus	Fagus sylvatica		SPECIES	Fagus sylvatica L.	Fagus sylvatica		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.378129	30.497225	5.0						2024-02-23T16:43	23	2	2024	2882316	2882316	HUMAN_OBSERVATION	iNaturalist	Observations	200562136		Andrii Churilov	2024-02-26T22:53:18	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:01:57.509Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528041128	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189013	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Chelidonium	Chelidonium majus		SPECIES	Chelidonium majus L.	Chelidonium majus		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380371	30.498429	5.0						2024-02-22T14:17	22	2	2024	5334186	5334186	HUMAN_OBSERVATION	iNaturalist	Observations	200189013		Andrii Churilov	2024-02-23T15:42:42	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:06:06.476Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528040154	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189510	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Apocynaceae	Vinca	Vinca minor		SPECIES	Vinca minor L.	Vinca minor		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.382116	30.504879	10.0						2024-02-23T09:48	23	2	2024	3169707	3169707	HUMAN_OBSERVATION	iNaturalist	Observations	200189510		Andrii Churilov	2024-02-23T15:48:10	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:52:45.367Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528018105	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189489	Plantae	Tracheophyta	Magnoliopsida	Piperales	Aristolochiaceae	Asarum	Asarum europaeum		SPECIES	Asarum europaeum L.	Asarum europaeum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.379831	30.499154	5.0						2024-02-22T14:31	22	2	2024	7313595	7313595	HUMAN_OBSERVATION	iNaturalist	Observations	200189489		Andrii Churilov	2024-02-23T15:48:04	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:34:32.211Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528018100	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189027	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ficaria	Ficaria verna		SPECIES	Ficaria verna Huds.	Ficaria verna		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380051	30.499172	5.0						2024-02-22T14:30	22	2	2024	9094061	9094061	HUMAN_OBSERVATION	iNaturalist	Observations	200189027		Andrii Churilov	2024-02-23T15:42:46	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T20:53:18.434Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4528000115	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200189025	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	Viola odorata		SPECIES	Viola odorata L.	Viola odorata		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.38001	30.499186	5.0						2024-02-22T14:29	22	2	2024	5331181	5331181	HUMAN_OBSERVATION	iNaturalist	Observations	200189025		Andrii Churilov	2024-02-23T15:42:45	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:00:15.293Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4527982153	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/200188619	Plantae	Tracheophyta	Magnoliopsida	Piperales	Aristolochiaceae	Asarum	Asarum europaeum		SPECIES	Asarum europaeum L.	Asarum europaeum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.382199	30.505456	5.0						2024-02-22T11:06	22	2	2024	7313595	7313595	HUMAN_OBSERVATION	iNaturalist	Observations	200188619		Andrii Churilov	2024-02-23T15:37:41	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T20:38:00.591Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4527912863	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/166371213	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium	Galium odoratum		SPECIES	Galium odoratum (L.) Scop.	Galium odoratum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.365212	30.508175	1039.0						2023-06-08T15:45:40	8	6	2023	2914642	2914642	HUMAN_OBSERVATION	iNaturalist	Observations	166371213		elina8695	2023-06-09T06:35:11	CC_BY_NC_4_0	elina8695	elina8695			2024-03-08T20:34:05.973Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525363597	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199834920	Plantae	Tracheophyta	Magnoliopsida	Santalales	Viscaceae	Viscum	Viscum album	album	SUBSPECIES	Viscum album subsp. album	Viscum album album		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.377916	30.5233	15.0						2024-02-19T16:47	19	2	2024	7295709	2889828	HUMAN_OBSERVATION	iNaturalist	Observations	199834920		Andrii Churilov	2024-02-19T21:38:07	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T23:10:17.572Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525357780	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199833956	Plantae	Tracheophyta	Magnoliopsida	Ericales	Primulaceae	Lysimachia	Lysimachia nummularia		SPECIES	Lysimachia nummularia L.	Lysimachia nummularia		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.38547	30.51817	5.0						2024-02-19T15:59	19	2	2024	3169379	3169379	HUMAN_OBSERVATION	iNaturalist	Observations	199833956		Andrii Churilov	2024-02-19T21:27:31	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:06:13.461Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525352538	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199834899	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Glechoma	Glechoma hederacea		SPECIES	Glechoma hederacea L.	Glechoma hederacea		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.378558	30.515494	5.0						2024-02-19T16:27	19	2	2024	2926557	2926557	HUMAN_OBSERVATION	iNaturalist	Observations	199834899		Andrii Churilov	2024-02-19T21:38:02	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T20:58:19.652Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525346513	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199833977	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Dryopteris	Dryopteris filix-mas		SPECIES	Dryopteris filix-mas (L.) Schott	Dryopteris filix-mas		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.380525	30.515376	5.0						2024-02-19T16:15	19	2	2024	5275132	5275132	HUMAN_OBSERVATION	iNaturalist	Observations	199833977		Andrii Churilov	2024-02-19T21:27:37	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:02:28.144Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525343597	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199834913	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex	Carex sylvatica		SPECIES	Carex sylvatica Huds.	Carex sylvatica		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.378077	30.521891	5.0						2024-02-19T16:38	19	2	2024	2722602	2722602	HUMAN_OBSERVATION	iNaturalist	Observations	199834913		Andrii Churilov	2024-02-19T21:38:04	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:14:01.947Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525343585	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199833963	Plantae	Bryophyta	Polytrichopsida	Polytrichales	Polytrichaceae	Atrichum	Atrichum undulatum		SPECIES	Atrichum undulatum (Hedw.) P.Beauv.	Atrichum undulatum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.384325	30.51763	5.0						2024-02-19T16:02	19	2	2024	2673299	2673299	HUMAN_OBSERVATION	iNaturalist	Observations	199833963		Andrii Churilov	2024-02-19T21:27:32	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:14:01.927Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525337755	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199835165	Plantae	Tracheophyta	Magnoliopsida	Santalales	Viscaceae	Viscum	Viscum album	album	SUBSPECIES	Viscum album subsp. album	Viscum album album		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.379281	30.522634	10.0						2024-02-19T16:53	19	2	2024	7295709	2889828	HUMAN_OBSERVATION	iNaturalist	Observations	199835165		Andrii Churilov	2024-02-19T21:41:36	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:04:21.854Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525327570	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199833951	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Geum	Geum urbanum		SPECIES	Geum urbanum L.	Geum urbanum		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.385518	30.518227	5.0						2024-02-19T15:59	19	2	2024	5369652	5369652	HUMAN_OBSERVATION	iNaturalist	Observations	199833951		Andrii Churilov	2024-02-19T21:27:29	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:25:50.795Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525319495	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199834918	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Phragmites	Phragmites australis		SPECIES	Phragmites australis (Cav.) Trin. ex Steud.	Phragmites australis		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.377196	30.524186	10.0						2024-02-19T16:44	19	2	2024	5290149	5290149	HUMAN_OBSERVATION	iNaturalist	Observations	199834918		Andrii Churilov	2024-02-19T21:38:05	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T20:53:01.226Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525319483	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199833968	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium	Lamium galeobdolon		SPECIES	Lamium galeobdolon (L.) L.	Lamium galeobdolon		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.382797	30.516752	5.0						2024-02-19T16:07	19	2	2024	2927324	2927324	HUMAN_OBSERVATION	iNaturalist	Observations	199833968		Andrii Churilov	2024-02-19T21:27:34	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T20:53:01.208Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525318725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199835164	Plantae	Tracheophyta	Polypodiopsida	Polypodiales	Dryopteridaceae	Dryopteris	Dryopteris carthusiana		SPECIES	Dryopteris carthusiana (Vill.) H.P.Fuchs	Dryopteris carthusiana		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.37777	30.522369	5.0						2024-02-19T16:50	19	2	2024	5275149	5275149	HUMAN_OBSERVATION	iNaturalist	Observations	199835164		Andrii Churilov	2024-02-19T21:41:36	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T21:49:56.781Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525313621	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/199835169	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa	Poa nemoralis		SPECIES	Poa nemoralis L.	Poa nemoralis		UA		Kiev City	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	50.385352	30.518441	5.0						2024-02-19T17:11	19	2	2024	2704300	2704300	HUMAN_OBSERVATION	iNaturalist	Observations	199835169		Andrii Churilov	2024-02-19T21:41:37	CC_BY_NC_4_0	Andrii Churilov	Andrii Churilov			2024-03-08T22:02:33.840Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
