# List of algae, fungi, and plant species included into the Red Data Book of Ukraine
# this tsv file assembled from GBIF checklist dataset, see citation
# Prylutskyi O, Marushchak O, Vasyliuk O (2023). List of algae, fungi, and plant species included into the Red Data Book of Ukraine. Version 1.1. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/x2knyk accessed via GBIF.org on 2024-03-13. 
# ----------------------------------------------------------------------------------
vernacularName	scientificName	kingdom	phylum	class	genus	taxonRank	threatStatus
Ковила пухнастолиста	Stipa dasyphylla (Czern. ex Lindem.) Trautv.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила відокремлена	Stipa disjuncta Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила донецька	Stipa donetzica Czupryna	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила облудна	Stipa fallacina Klokov & Ossycznjuk	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила гранітна	Stipa graniticola Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила різнолиста	Stipa heterophylla Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила Лессінга	Stipa lessingiana Trin. & Rupr.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	неоцінений
Ковила каменелюбна	Stipa lithophila P.Smirn.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	неоцінений
Ковила азовська	Stipa maeotica Klokov & Ossycznjuk	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила травнева	Stipa majalis Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила Мартиновського	Stipa martinovskyi Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила гірська	Stipa oreades Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	недостатньо відомий
Ковила пірчаста	Stipa pennata L.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила поетична	Stipa poetica Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила найкрасивіша	Stipa pulcherrima K.Koch	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила Сирейщикова	Stipa syreistschikowii P.Smirn.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила вузьколиста	Stipa tirsa Steven	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Ковила закарпатська	Stipa transcarpatica Klokov	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	зникаючий
Ковила українська	Stipa ucrainica P.Smirn.	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	неоцінений
Ковила Залеського	Stipa zalesskii Wilensky	Plantae	Tracheophyta	Magnoliopsida	Stipa	species	вразливий
Шильник водяний	Subularia aquatica L.	Plantae	Tracheophyta	Magnoliopsida	Subularia	species	зниклий в природі
Коломонночок зігнутий	Succisella inflexa (Kluk) G. Beck	Plantae	Tracheophyta	Magnoliopsida	Succisella	species	рідкісний
Сверція багаторічна	Swertia perennis L.	Plantae	Tracheophyta	Magnoliopsida	Swertia	species	вразливий
Сверція крапчаста	Swertia punctata Baumg.	Plantae	Tracheophyta	Magnoliopsida	Swertia	species	вразливий
Бузок угорський	Syringa josikaea J.Jacq. ex Rchb.	Plantae	Tracheophyta	Magnoliopsida	Syringa	species	вразливий
Тахтаджяноквітник австрійський	Takhtajaniantha austriaca (Willd.) Zaika, Sukhor. & N.Kilian	Plantae	Tracheophyta	Magnoliopsida	Takhtajaniantha	species	зникаючий
Тамарикс стрункий	Tamarix gracilis Willd.	Plantae	Tracheophyta	Magnoliopsida	Tamarix	species	вразливий
Рутвиця смердюча	Thalictrum foetidum L.	Plantae	Tracheophyta	Magnoliopsida	Thalictrum	species	зникаючий
Рутвиця гачкувата	Thalictrum uncinnatum Rehmann	Plantae	Tracheophyta	Magnoliopsida	Thalictrum	species	рідкісний
Чебрець кальміуський	Thymus kaljmijussicus Klokov & Des.-Shost.	Plantae	Tracheophyta	Magnoliopsida	Thymus	species	недостатньо відомий
Чебрець прибережний	Thymus littoralis Klokov & Des.-Shost.	Plantae	Tracheophyta	Magnoliopsida	Thymus	species	вразливий
Липа пухнастостовпчикова	Tilia dasystyla Steven	Plantae	Tracheophyta	Magnoliopsida	Tilia	species	зникаючий
Тофільдія чашечкова	Tofieldia calyculata (L.) Wahlenb.	Plantae	Tracheophyta	Magnoliopsida	Tofieldia	species	вразливий
Берека	Torminalis glaberrima (Gand.) Sennikov & Kurtto	Plantae	Tracheophyta	Magnoliopsida	Torminalis	species	неоцінений
Кендир венеційський	Trachomitum venetum (L.) Woodson	Plantae	Tracheophyta	Magnoliopsida	Trachomitum	species	вразливий
Козельці донецькі	Tragopogon donetzicus Artemcz.	Plantae	Tracheophyta	Magnoliopsida	Tragopogon	species	неоцінений
Траунштейнера куляста	Traunsteinera globosa (L.) Rcnb.	Plantae	Tracheophyta	Magnoliopsida	Traunsteinera	species	вразливий
Пухівочка альпійська	Trichophorum alpinum (L.) Pers.	Plantae	Tracheophyta	Magnoliopsida	Trichophorum	species	недостатньо відомий
Конюшина темно-каштанова	Trifolium badium Schreb.	Plantae	Tracheophyta	Magnoliopsida	Trifolium	species	рідкісний
Конюшина люпиноподібна	Trifolium lupinaster L.	Plantae	Tracheophyta	Magnoliopsida	Trifolium	species	вразливий
Конюшина червонувата	Trifolium rubens L.	Plantae	Tracheophyta	Magnoliopsida	Trifolium	species	рідкісний
Тринія Біберштейна	Trinia biebersteinii Fedoronczuk	Plantae	Tracheophyta	Magnoliopsida	Trinia	species	рідкісний
Пшениця дика однозернянка	Triticum boeoticum Boiss.	Plantae	Tracheophyta	Magnoliopsida	Triticum	species	неоцінений
Тюльпан двоквітковий	Tulipa biflora Pall.	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан гранітний	Tulipa graniticola (Klokov & Zoz) Klokov	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан бузький	Tulipa hypanica Klokov & Zoz	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан змієлистий	Tulipa ophiophylla Klokov & Zoz	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан дібровний	Tulipa quercetorum Klokov & Zoz	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан Шренка	Tulipa schrenkii Regel	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	вразливий
Тюльпан скіфський	Tulipa scythica Klokov & Zoz	Plantae	Tracheophyta	Magnoliopsida	Tulipa	species	зникаючий
Рогіз малий	Typha minima Funk.	Plantae	Tracheophyta	Magnoliopsida	Typha	species	зникаючий
Журавлина дрібноплода	Vaccinium microcarpum (Turcz. ex Rupr.) Schmalh.	Plantae	Tracheophyta	Magnoliopsida	Vaccinium	species	вразливий
Дивина розлога	Verbascum laxum Fil. & Jav.	Plantae	Tracheophyta	Magnoliopsida	Verbascum	species	зникаючий
Вероніка безлиста	Veronica aphylla L.	Plantae	Tracheophyta	Magnoliopsida	Veronica	species	рідкісний
Вероніка стокроткова	Veronica bellidioides L.	Plantae	Tracheophyta	Magnoliopsida	Veronica	species	зникаючий
Вероніка кущикова	Veronica fruticans Jacq.	Plantae	Tracheophyta	Magnoliopsida	Veronica	species	рідкісний
Фіалка біла	Viola alba Besser	Plantae	Tracheophyta	Magnoliopsida	Viola	species	рідкісний
Фіалка Джоя	Viola jooi Janka	Plantae	Tracheophyta	Magnoliopsida	Viola	species	вразливий
Фіалка кримська	Viola oreades M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Viola	species	рідкісний
Вальдштейнія гравілатоподібна	Waldsteinia geoides Willd.	Plantae	Tracheophyta	Magnoliopsida	Waldsteinia	species	вразливий
Цингерія Біберштейна	Zingeria biebersteiniana (Claus) P. Smirn.	Plantae	Tracheophyta	Magnoliopsida	Zingeria	species	зниклий в природі
Яловець високий	Juniperus excelsa M.-Bieb.	Plantae	Tracheophyta	Pinopsida	Juniperus	species	вразливий
Яловець смердючий	Juniperus foetidissima Willd.	Plantae	Tracheophyta	Pinopsida	Juniperus	species	рідкісний
Модрина польська	Larix polonica Racib.	Plantae	Tracheophyta	Pinopsida	Larix	species	зникаючий
Сосна Станкевича	Pinus brutia Ten. var. pityusa (Steven) Silba	Plantae	Tracheophyta	Pinopsida	Pinus	species	вразливий
Сосна кедрова	Pinus cembra L.	Plantae	Tracheophyta	Pinopsida	Pinus	species	вразливий
Сосна крейдова	Pinus cretacea Kalen.	Plantae	Tracheophyta	Pinopsida	Pinus	species	вразливий
Тис ягідний	Taxus baccata L.	Plantae	Tracheophyta	Pinopsida	Taxus	species	вразливий
Адіант венерин волос	Adiantum capillus-veneris L.	Plantae	Tracheophyta	Polypodiopsida	Adiantum	species	зникаючий
Анограма тонколиста	Anogramma leptophylla (L.) Link	Plantae	Tracheophyta	Polypodiopsida	Anogramma	species	зникаючий
Аспленій чорний	Asplenium adiantum-nigrum L.	Plantae	Tracheophyta	Polypodiopsida	Asplenium	species	рідкісний
Аспленій Білло	Asplenium billotii F.W. Schultz.	Plantae	Tracheophyta	Polypodiopsida	Asplenium	species	зникаючий
Аспленій Гейфлера	Asplenium heufleri Reichard	Plantae	Tracheophyta	Polypodiopsida	Asplenium	species	зникаючий
Гронянка півмісяцева	Botrychium lunaria (L.) Sw.	Plantae	Tracheophyta	Polypodiopsida	Botrychium	species	вразливий
Гронянка ромашколиста	Botrychium matricariifolium A. Br. ex Koch	Plantae	Tracheophyta	Polypodiopsida	Botrychium	species	зникаючий
Гронянка багатороздільна	Botrychium multifidum (S.G. Gmel.) Rupr.	Plantae	Tracheophyta	Polypodiopsida	Botrychium	species	рідкісний
Гронянка віргінська	Botrychium virginianum (L.) Sw.	Plantae	Tracheophyta	Polypodiopsida	Botrychium	species	зникаючий
Міхурниця альпійська	Cystopteris alpina (Lam.) Desv.	Plantae	Tracheophyta	Polypodiopsida	Cystopteris	species	рідкісний
Міхурниця гірська	Cystopteris montana (Lam.) Bernh. ex Desv.	Plantae	Tracheophyta	Polypodiopsida	Cystopteris	species	вразливий
Міхурниця судетська	Cystopteris sudetica A.Braun & Milde	Plantae	Tracheophyta	Polypodiopsida	Cystopteris	species	зникаючий
Щитник Віллара	Dryopteris villarii (Bellardi) Woynar ex Schinz & Thell.	Plantae	Tracheophyta	Polypodiopsida	Dryopteris	species	вразливий
Марсилея чотирилиста	Marsilea quadrifolia L.	Plantae	Tracheophyta	Polypodiopsida	Marsilea	species	вразливий
Краєкучник верхівковий	Oeosporangium acrosticum (Balb.) L.Saez & Aymerich	Plantae	Tracheophyta	Polypodiopsida	Oeosporangium	species	зникаючий
Краєкучник персидський	Oeosporangium persicum (Bory) Vis.	Plantae	Tracheophyta	Polypodiopsida	Oeosporangium	species	зникаючий
Лусківниця марантова	Paragymnopteris marantae (L.) K.H. Shing	Plantae	Tracheophyta	Polypodiopsida	Paragymnopteris	species	зникаючий
Пілюльниця куленосна	Pilularia globulifera L.	Plantae	Tracheophyta	Polypodiopsida	Pilularia	species	зникаючий
Пухирник південний	Utricularia australis R.Br.	Plantae	Tracheophyta	Polypodiopsida	Utricularia	species	вразливий
Пухирник Брема	Utricularia bremii Herr.	Plantae	Tracheophyta	Polypodiopsida	Utricularia	species	зниклий в природі
Пухирник середній	Utricularia intermedia Hayne	Plantae	Tracheophyta	Polypodiopsida	Utricularia	species	вразливий
Пухирник малий	Utricularia minor L.	Plantae	Tracheophyta	Polypodiopsida	Utricularia	species	вразливий
Вудсія альпійська	Woodsia alpina (Bolton) S.F.Gray	Plantae	Tracheophyta	Polypodiopsida	Woodsia	species	зникаючий
Вудсія ельбська	Woodsia ilvensis (L.) R.Br.	Plantae	Tracheophyta	Polypodiopsida	Woodsia	species	зникаючий
